time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-08 00:00:00+00:00,0,0,1,1
2022-03-09 00:00:00+00:00,0,0,2,2
2022-03-18 00:00:00+00:00,0,0,2,2
2022-03-21 00:00:00+00:00,33,6,28,2
2022-03-22 00:00:00+00:00,23,13,243,11
2022-03-23 00:00:00+00:00,9,3,10,2
2022-03-24 00:00:00+00:00,3,2,3,1
2022-03-25 00:00:00+00:00,32,5,10,1
2022-03-26 00:00:00+00:00,3,3,0,0
2022-03-27 00:00:00+00:00,2,2,0,0
2022-03-28 00:00:00+00:00,3,2,16,4
2022-03-29 00:00:00+00:00,6,3,7,2
2022-03-30 00:00:00+00:00,4,2,0,0
2022-03-31 00:00:00+00:00,2,2,1,1
2022-04-01 00:00:00+00:00,5,3,6,1
2022-04-02 00:00:00+00:00,4,2,0,0
2022-04-03 00:00:00+00:00,2,2,0,0
2022-04-04 00:00:00+00:00,2,2,3,1
2022-04-05 00:00:00+00:00,1,1,2,1
2022-04-06 00:00:00+00:00,7,2,6,1
2022-04-07 00:00:00+00:00,4,2,9,3
2022-04-08 00:00:00+00:00,1,1,18,3
2022-04-09 00:00:00+00:00,2,2,0,0
2022-04-10 00:00:00+00:00,1,1,0,0
2022-04-11 00:00:00+00:00,1,1,0,0
2022-04-12 00:00:00+00:00,2,2,0,0
2022-04-13 00:00:00+00:00,2,2,1,1
2022-04-14 00:00:00+00:00,1,1,2,1
2022-04-15 00:00:00+00:00,1,1,0,0
2022-04-16 00:00:00+00:00,1,1,0,0
2022-04-17 00:00:00+00:00,1,1,0,0
2022-04-18 00:00:00+00:00,1,1,0,0
2022-04-19 00:00:00+00:00,2,2,0,0
2022-04-20 00:00:00+00:00,1,1,0,0
2022-04-21 00:00:00+00:00,1,1,5,1
2022-04-22 00:00:00+00:00,1,1,0,0
2022-04-23 00:00:00+00:00,1,1,0,0
2022-04-24 00:00:00+00:00,1,1,0,0
2022-04-25 00:00:00+00:00,1,1,6,2
2022-04-26 00:00:00+00:00,1,1,1,1
2022-04-27 00:00:00+00:00,1,1,0,0
2022-04-28 00:00:00+00:00,1,1,0,0
2022-04-29 00:00:00+00:00,1,1,1,1
2022-04-30 00:00:00+00:00,1,1,0,0
2022-05-01 00:00:00+00:00,1,1,4,1
2022-05-02 00:00:00+00:00,2,2,0,0
2022-05-03 00:00:00+00:00,2,2,7,1
2022-05-04 00:00:00+00:00,1,1,1,1
2022-05-05 00:00:00+00:00,1,1,4,2
2022-05-06 00:00:00+00:00,1,1,1,1
2022-05-07 00:00:00+00:00,1,1,0,0
2022-05-08 00:00:00+00:00,1,1,0,0
2022-05-09 00:00:00+00:00,1,1,0,0
2022-05-10 00:00:00+00:00,1,1,0,0
2022-05-11 00:00:00+00:00,3,2,3,3
2022-05-12 00:00:00+00:00,1,1,2,2
2022-05-13 00:00:00+00:00,1,1,0,0
2022-05-14 00:00:00+00:00,1,1,0,0
2022-05-15 00:00:00+00:00,1,1,0,0
2022-05-16 00:00:00+00:00,2,2,0,0
2022-05-17 00:00:00+00:00,1,1,0,0
2022-05-18 00:00:00+00:00,1,1,22,2
2022-05-19 00:00:00+00:00,1,1,0,0
2022-05-20 00:00:00+00:00,1,1,1,1
2022-05-21 00:00:00+00:00,1,1,0,0
2022-05-22 00:00:00+00:00,1,1,0,0
2022-05-23 00:00:00+00:00,1,1,3,1
2022-05-24 00:00:00+00:00,1,1,12,5
2022-05-25 00:00:00+00:00,2,2,5,3
2022-05-26 00:00:00+00:00,1,1,0,0
2022-05-27 00:00:00+00:00,1,1,0,0
2022-05-28 00:00:00+00:00,1,1,0,0
2022-05-29 00:00:00+00:00,1,1,0,0
2022-05-30 00:00:00+00:00,1,1,1,1
2022-05-31 00:00:00+00:00,1,1,6,1
2022-06-01 00:00:00+00:00,83,3,0,0
2022-06-02 00:00:00+00:00,2,2,1,1
2022-06-03 00:00:00+00:00,4,2,0,0
2022-06-04 00:00:00+00:00,3,3,0,0
2022-06-05 00:00:00+00:00,2,2,0,0
2022-06-06 00:00:00+00:00,4,2,5,1
2022-06-07 00:00:00+00:00,1,1,10,4
2022-06-08 00:00:00+00:00,2,2,0,0
2022-06-09 00:00:00+00:00,1,1,1,1
2022-06-10 00:00:00+00:00,2,2,0,0
2022-06-11 00:00:00+00:00,1,1,0,0
2022-06-12 00:00:00+00:00,2,2,1,1
2022-06-13 00:00:00+00:00,1,1,1,1
2022-06-14 00:00:00+00:00,1,1,0,0
2022-06-15 00:00:00+00:00,3,2,0,0
2022-06-16 00:00:00+00:00,1,1,0,0
2022-06-17 00:00:00+00:00,2,2,0,0
2022-06-18 00:00:00+00:00,2,2,1,1
2022-06-19 00:00:00+00:00,2,2,0,0
2022-06-20 00:00:00+00:00,1,1,0,0
2022-06-21 00:00:00+00:00,1,1,0,0
2022-06-22 00:00:00+00:00,1,1,2,1
2022-06-23 00:00:00+00:00,1,1,2,1
